"zone_id","n_frames","time_seconds","percentage","metric_type","subject_id","n_entries","mean_duration","total_time","latency_seconds","first_entry_frame"
"centre",1657,55.2333333333333,17.5103032864842,"occupancy","ID7698_20251021",NA,NA,NA,NA,NA
"closed_bottom",3878,129.266666666667,40.9806615238297,"occupancy","ID7698_20251021",NA,NA,NA,NA,NA
"closed_top",3441,114.7,36.3626756842439,"occupancy","ID7698_20251021",NA,NA,NA,NA,NA
"open_left",615,20.5,6.49899609003487,"occupancy","ID7698_20251021",NA,NA,NA,NA,NA
"open_right",476,15.8666666666667,5.03011729895382,"occupancy","ID7698_20251021",NA,NA,NA,NA,NA
"centre",NA,NA,NA,"entries","ID7698_20251021",28,1.82857142857143,51.2,NA,NA
"closed_bottom",NA,NA,NA,"entries","ID7698_20251021",8,15.6541666666667,125.233333333333,NA,NA
"closed_top",NA,NA,NA,"entries","ID7698_20251021",10,11.0666666666667,110.666666666667,NA,NA
"open_left",NA,NA,NA,"entries","ID7698_20251021",6,2.74444444444444,16.4666666666667,NA,NA
"open_right",NA,NA,NA,"entries","ID7698_20251021",5,2.36666666666667,11.8333333333333,NA,NA
"centre",NA,NA,NA,"latency","ID7698_20251021",NA,NA,NA,4.23333333333333,127
"closed_bottom",NA,NA,NA,"latency","ID7698_20251021",NA,NA,NA,13.0666666666667,392
"closed_top",NA,NA,NA,"latency","ID7698_20251021",NA,NA,NA,28.0666666666667,842
"open_left",NA,NA,NA,"latency","ID7698_20251021",NA,NA,NA,6.33333333333333,190
"open_right",NA,NA,NA,"latency","ID7698_20251021",NA,NA,NA,4.03333333333333,121
