"zone_id","n_frames","time_seconds","percentage","metric_type","subject_id","n_entries","mean_duration","total_time","latency_seconds","first_entry_frame"
"centre",1454,48.4666666666667,15.0051599587203,"occupancy","ID7689",NA,NA,NA,NA,NA
"closed_bottom",2270,75.6666666666667,23.4262125902993,"occupancy","ID7689",NA,NA,NA,NA,NA
"closed_top",4633,154.433333333333,47.81217750258,"occupancy","ID7689",NA,NA,NA,NA,NA
"open_left",1241,41.3666666666667,12.8070175438597,"occupancy","ID7689",NA,NA,NA,NA,NA
"open_right",994,33.1333333333333,10.2579979360165,"occupancy","ID7689",NA,NA,NA,NA,NA
"centre",NA,NA,NA,"entries","ID7689",60,0.682222222222222,40.9333333333333,NA,NA
"closed_bottom",NA,NA,NA,"entries","ID7689",7,9.73333333333333,68.1333333333333,NA,NA
"closed_top",NA,NA,NA,"entries","ID7689",12,12.2416666666667,146.9,NA,NA
"open_left",NA,NA,NA,"entries","ID7689",21,1.61111111111111,33.8333333333333,NA,NA
"open_right",NA,NA,NA,"entries","ID7689",23,1.11304347826087,25.6,NA,NA
"centre",NA,NA,NA,"latency","ID7689",NA,NA,NA,7.16666666666667,215
"closed_bottom",NA,NA,NA,"latency","ID7689",NA,NA,NA,7.43333333333333,223
"closed_top",NA,NA,NA,"latency","ID7689",NA,NA,NA,55.1333333333333,1654
"open_left",NA,NA,NA,"latency","ID7689",NA,NA,NA,7.8,234
"open_right",NA,NA,NA,"latency","ID7689",NA,NA,NA,7.33333333333333,220
