"zone_id","n_frames","time_seconds","percentage","metric_type","subject_id","n_entries","mean_duration","total_time","latency_seconds","first_entry_frame"
"centre",1763,58.7666666666667,18.2542969558915,"occupancy","ID7687",NA,NA,NA,NA,NA
"closed_bottom",5370,179,55.6015738248084,"occupancy","ID7687",NA,NA,NA,NA,NA
"closed_top",1672,55.7333333333333,17.3120728929385,"occupancy","ID7687",NA,NA,NA,NA,NA
"open_left",1020,34,10.561192793539,"occupancy","ID7687",NA,NA,NA,NA,NA
"open_right",751,25.0333333333333,7.77593704700766,"occupancy","ID7687",NA,NA,NA,NA,NA
"centre",NA,NA,NA,"entries","ID7687",49,1.04285714285714,51.1,NA,NA
"closed_bottom",NA,NA,NA,"entries","ID7687",31,5.52688172043011,171.333333333333,NA,NA
"closed_top",NA,NA,NA,"entries","ID7687",18,2.67037037037037,48.0666666666667,NA,NA
"open_left",NA,NA,NA,"entries","ID7687",10,2.63333333333333,26.3333333333333,NA,NA
"open_right",NA,NA,NA,"entries","ID7687",12,1.44722222222222,17.3666666666667,NA,NA
"centre",NA,NA,NA,"latency","ID7687",NA,NA,NA,5.93333333333333,178
"closed_bottom",NA,NA,NA,"latency","ID7687",NA,NA,NA,8.86666666666667,266
"closed_top",NA,NA,NA,"latency","ID7687",NA,NA,NA,106.733333333333,3202
"open_left",NA,NA,NA,"latency","ID7687",NA,NA,NA,19.6666666666667,590
"open_right",NA,NA,NA,"latency","ID7687",NA,NA,NA,5.66666666666667,170
